target_id,gene_symbol,display_name,target_family,overall_status,candidate_class,dna_status,rna_status,protein_status,sample_support_summary,sample_blockers,research_context_status,recommended_followup,clinical_boundary
cdk12,CDK12,CDK12,ddr_transcription_cdk,partial_evidence,ddr_transcriptional_cdk_followup,partial_evidence,no_call,no_call,CDK12 has first-pass DNA evidence for DDR/transcriptional-CDK follow-up.,CDK12/13 dependency and drug context remain no_call without expression and pathway review.,no_call,RNA-seq;HRR review,Research-use follow-up triage only; clinical decisions require reviewer signoff.
cdk13,CDK13,CDK13,ddr_transcription_cdk,partial_evidence,ddr_transcriptional_cdk_followup,partial_evidence,no_call,no_call,CDK13 has first-pass DNA evidence for DDR/transcriptional-CDK follow-up.,CDK12/13 dependency and drug context remain no_call without expression and pathway review.,no_call,RNA-seq;HRR review,Research-use follow-up triage only; clinical decisions require reviewer signoff.
ccnk,CCNK,Cyclin K,ddr_transcription_cdk,partial_evidence,ddr_transcriptional_cdk_followup,partial_evidence,no_call,no_call,CCNK has first-pass DNA evidence for DDR/transcriptional-CDK follow-up.,CDK12/13 dependency and drug context remain no_call without expression and pathway review.,no_call,RNA-seq,Research-use follow-up triage only; clinical decisions require reviewer signoff.
rb1,RB1,RB1,cell_cycle_resistance,partial_evidence,cell_cycle_resistance_context,partial_evidence,no_call,no_call,RB1 DNA status is cell-cycle resistance context for CDK4/6 review.,"Clinical exposure, RB1/cyclin-E-axis review, and orthogonal pathway evidence remain no_call.",no_call,IHC;phospho-Rb,Research-use follow-up triage only; clinical decisions require reviewer signoff.
ccne1,CCNE1,Cyclin E1,cell_cycle_resistance,partial_evidence,cell_cycle_resistance_context,partial_evidence,no_call,no_call,CCNE1 DNA status is cyclin-E/CDK2-bypass context for CDK4/6 review.,"Clinical exposure, RB1/cyclin-E-axis review, and orthogonal pathway evidence remain no_call.",no_call,RNA-seq;cyclin-E protein,Research-use follow-up triage only; clinical decisions require reviewer signoff.
cdk4,CDK4,CDK4,cell_cycle_resistance,partial_evidence,cell_cycle_resistance_context,partial_evidence,no_call,no_call,CDK4 DNA status is cell-cycle pathway context.,"Clinical exposure, RB1/cyclin-E-axis review, and orthogonal pathway evidence remain no_call.",no_call,RNA-seq;phospho-Rb,Research-use follow-up triage only; clinical decisions require reviewer signoff.
cdk6,CDK6,CDK6,cell_cycle_resistance,partial_evidence,cell_cycle_resistance_context,partial_evidence,no_call,no_call,CDK6 DNA status is cell-cycle pathway context.,"Clinical exposure, RB1/cyclin-E-axis review, and orthogonal pathway evidence remain no_call.",no_call,RNA-seq;phospho-Rb,Research-use follow-up triage only; clinical decisions require reviewer signoff.
ccnd1,CCND1,Cyclin D1,cell_cycle_resistance,partial_evidence,cell_cycle_resistance_context,partial_evidence,no_call,no_call,CCND1 DNA status is cell-cycle pathway context.,"Clinical exposure, RB1/cyclin-E-axis review, and orthogonal pathway evidence remain no_call.",no_call,RNA-seq;cyclin-D1 protein,Research-use follow-up triage only; clinical decisions require reviewer signoff.
cdkn2a,CDKN2A,CDKN2A,cell_cycle_resistance,partial_evidence,cell_cycle_resistance_context,partial_evidence,no_call,no_call,CDKN2A DNA status is cell-cycle pathway context.,"Clinical exposure, RB1/cyclin-E-axis review, and orthogonal pathway evidence remain no_call.",no_call,RNA-seq;p16 IHC,Research-use follow-up triage only; clinical decisions require reviewer signoff.
cdkn2b,CDKN2B,CDKN2B,cell_cycle_resistance,partial_evidence,cell_cycle_resistance_context,partial_evidence,no_call,no_call,CDKN2B DNA status is cell-cycle pathway context.,"Clinical exposure, RB1/cyclin-E-axis review, and orthogonal pathway evidence remain no_call.",no_call,RNA-seq,Research-use follow-up triage only; clinical decisions require reviewer signoff.
pik3ca,PIK3CA,PI3K alpha,cell_cycle_resistance,partial_evidence,cell_cycle_resistance_context,partial_evidence,no_call,no_call,PIK3CA DNA status is cell-cycle pathway context.,"Clinical exposure, RB1/cyclin-E-axis review, and orthogonal pathway evidence remain no_call.",no_call,PI3K pathway review,Research-use follow-up triage only; clinical decisions require reviewer signoff.
akt1,AKT1,AKT1,cell_cycle_resistance,partial_evidence,cell_cycle_resistance_context,partial_evidence,no_call,no_call,AKT1 DNA status is cell-cycle pathway context.,"Clinical exposure, RB1/cyclin-E-axis review, and orthogonal pathway evidence remain no_call.",no_call,PI3K pathway review,Research-use follow-up triage only; clinical decisions require reviewer signoff.
pten,PTEN,PTEN,cell_cycle_resistance,partial_evidence,cell_cycle_resistance_context,partial_evidence,no_call,no_call,PTEN DNA status is cell-cycle pathway context.,"Clinical exposure, RB1/cyclin-E-axis review, and orthogonal pathway evidence remain no_call.",no_call,IHC;PI3K pathway review,Research-use follow-up triage only; clinical decisions require reviewer signoff.
fgfr1,FGFR1,FGFR1,cell_cycle_resistance,partial_evidence,cell_cycle_resistance_context,partial_evidence,no_call,no_call,FGFR1 DNA status is cell-cycle pathway context.,"Clinical exposure, RB1/cyclin-E-axis review, and orthogonal pathway evidence remain no_call.",no_call,RNA-seq;phospho-protein,Research-use follow-up triage only; clinical decisions require reviewer signoff.
fgfr2,FGFR2,FGFR2,cell_cycle_resistance,partial_evidence,cell_cycle_resistance_context,partial_evidence,no_call,no_call,FGFR2 DNA status is cell-cycle pathway context.,"Clinical exposure, RB1/cyclin-E-axis review, and orthogonal pathway evidence remain no_call.",no_call,RNA-seq;phospho-protein,Research-use follow-up triage only; clinical decisions require reviewer signoff.
esr1,ESR1,ESR1,cell_cycle_resistance,partial_evidence,cell_cycle_resistance_context,partial_evidence,no_call,no_call,ESR1 DNA status is cell-cycle pathway context.,"Clinical exposure, RB1/cyclin-E-axis review, and orthogonal pathway evidence remain no_call.",no_call,ER IHC;RNA-seq,Research-use follow-up triage only; clinical decisions require reviewer signoff.
top1,TOP1,TOP1,payload_context,partial_evidence,genomically_supported_expression_unconfirmed,partial_evidence,no_call,no_call,TOP1 has first-pass locus callability; CNV and disruptive-variant evidence are no_call.,Payload-specific sensitivity context is not validated.,no_call,RNA-seq;protein,Research-use follow-up triage only; clinical decisions require reviewer signoff.
slfn11,SLFN11,SLFN11,payload_context,partial_evidence,genomically_supported_expression_unconfirmed,partial_evidence,no_call,no_call,SLFN11 has first-pass locus callability; CNV and disruptive-variant evidence are no_call.,Payload-specific sensitivity context is not validated.,no_call,RNA-seq;IHC,Research-use follow-up triage only; clinical decisions require reviewer signoff.
abcb1,ABCB1,ABCB1,payload_context,partial_evidence,genomically_supported_expression_unconfirmed,partial_evidence,no_call,no_call,ABCB1 has first-pass locus callability; CNV and disruptive-variant evidence are no_call.,Payload-specific sensitivity context is not validated.,no_call,RNA-seq,Research-use follow-up triage only; clinical decisions require reviewer signoff.
ugt1a1,UGT1A1,UGT1A1,payload_context,partial_evidence,genomically_supported_expression_unconfirmed,partial_evidence,no_call,no_call,UGT1A1 has first-pass locus callability; CNV and disruptive-variant evidence are no_call.,Payload-specific sensitivity context is not validated.,no_call,germline pharmacogenomics,Research-use follow-up triage only; clinical decisions require reviewer signoff.
