target_id,cohort_group,sample_or_asset_id,target_role,modality,source_access,source_url,public_finding,expected_signal,probe_key,artifact_path,target_status,pipeline_confirmation,public_documentation_alignment,evidence_type,public_finding_result,blockers,next_action,clinical_use_allowed,no_call_policy
hg008_tumor_wgs_remote,giab_hg008,HG008-T,tumor,tumor_normal_wgs,yes,https://www.nist.gov/programs-projects/cancer-genome-bottle,HG008-T is the first Cancer GIAB tumor sample and has public WGS data,Expanded SNV panel shows tumor ALT support,hg008_snv_panel,results/clinicalization/known_answer_runs/expanded_cohort/hg008_snv_panel.json,expanded_non_dry_passed,bounded_expanded_snv_panel_confirmed,aligned,truth_vcf_remote_bam_pileup,40/40 HG008 truth SNVs passed tumor ALT and normal REF pileup gates.,,Promote to strict recall precision only after caller output is generated.,no,No-call unless indexed public tumor BAM supports truth alleles.
hg008_normal_wgs_remote,giab_hg008,HG008-N-D,normal,tumor_normal_wgs,yes,https://www.nist.gov/programs-projects/cancer-genome-bottle,HG008-N-D is a paired normal sample for HG008-T,Expanded SNV panel shows normal REF support,hg008_snv_panel,results/clinicalization/known_answer_runs/expanded_cohort/hg008_snv_panel.json,expanded_non_dry_passed,bounded_expanded_snv_panel_confirmed,aligned,truth_vcf_remote_bam_pileup,40/40 HG008 truth SNVs passed tumor ALT and normal REF pileup gates.,,Promote to strict recall precision only after caller output is generated.,no,No-call unless indexed public normal BAM remains reference-like at truth loci.
hg008_snv_panel_40,giab_hg008,HG008-T_somatic_smvar_v0.3,truth_small_variant,tumor_normal_wgs,yes,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data_somatic/HG008/Liss_lab/analysis/NIST_HG008-T_somatic-smvar_DraftBenchmark_V0.3-20260425/,NIST HG008-T v0.3 somatic small-variant benchmark supports public SNV and indel correctness checks,At least 40 simple SNV truth loci pass remote tumor-normal pileup,hg008_snv_panel,results/clinicalization/known_answer_runs/expanded_cohort/hg008_snv_panel.json,expanded_non_dry_passed,bounded_expanded_snv_panel_confirmed,aligned,truth_vcf_remote_bam_pileup,40/40 HG008 truth SNVs passed tumor ALT and normal REF pileup gates.,,Promote to strict recall precision only after caller output is generated.,no,No-call unless expanded truth SNV panel is evaluated against tumor and normal.
hg008_cnv_loss_depth,giab_hg008,HG008-T_CNV_loss,truth_cnv,tumor_normal_wgs,yes,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data_somatic/HG008/Liss_lab/analysis/NIST_HG008-T_somatic-stvar-CNV_DraftBenchmark_V0.5-20260318/,NIST HG008-T v0.5 CNV benchmark includes PASS copy-loss intervals,Loss intervals show lower normalized tumor-normal depth,hg008_cnv_sweep,results/clinicalization/known_answer_runs/expanded_cohort/hg008_cnv_sweep.json,expanded_non_dry_passed,bounded_expanded_cnv_depth_confirmed,aligned,truth_cnv_remote_bam_depth_sweep,4/4 HG008 CNV truth intervals passed normalized tumor-normal depth direction checks.,No Diana-generated CNV callset or reciprocal-overlap result exists for HG008.,Run CNV calling and compare segments against HG008 v0.5 truth.,no,No-call unless public CNV truth and indexed tumor-normal BAMs support the depth signal.
hg008_cnv_gain_depth,giab_hg008,HG008-T_CNV_gain,truth_cnv,tumor_normal_wgs,yes,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data_somatic/HG008/Liss_lab/analysis/NIST_HG008-T_somatic-stvar-CNV_DraftBenchmark_V0.5-20260318/,NIST HG008-T v0.5 CNV benchmark includes PASS copy-gain intervals,Gain intervals show higher normalized tumor-normal depth,hg008_cnv_sweep,results/clinicalization/known_answer_runs/expanded_cohort/hg008_cnv_sweep.json,expanded_non_dry_passed,bounded_expanded_cnv_depth_confirmed,aligned,truth_cnv_remote_bam_depth_sweep,4/4 HG008 CNV truth intervals passed normalized tumor-normal depth direction checks.,No Diana-generated CNV callset or reciprocal-overlap result exists for HG008.,Run CNV calling and compare segments against HG008 v0.5 truth.,no,No-call unless public CNV truth and indexed tumor-normal BAMs support the depth signal.
hg008_sv_truth_asset,giab_hg008,HG008-T_somatic_stvar_v0.5,truth_sv,tumor_normal_wgs,yes,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data_somatic/HG008/Liss_lab/analysis/NIST_HG008-T_somatic-stvar-CNV_DraftBenchmark_V0.5-20260318/,NIST HG008-T v0.5 SV benchmark includes PASS structural-variant truth files,Truth asset is present but reciprocal-overlap caller output is still needed,hg008_sv_truth_asset,results/clinicalization/known_answer_runs/expanded_cohort/hg008_sv_truth_asset.json,expanded_non_dry_gap_identified,not_confirmed,gap,truth_asset_presence_without_caller_output,HG008 SV truth asset is present but no Diana SV callset exists for reciprocal-overlap confirmation.,No Diana-generated SV callset exists for HG008 in this expanded bounded run.,Run SV callers and reciprocal-overlap comparison against HG008 v0.5 truth.,no,No-call until Diana SV calls are generated and compared against HG008 truth.
hg008_rna_paired_stats,giab_hg008,HG008-T_bulk,tumor_rna_seq,tumor_rna_seq,yes,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data_somatic/HG008/NIST/HG008-T_bulk/20240508p21/UMD_RNA-seq_20250925/,HG008-T bulk RNA-seq is public and should validate RNA intake plumbing,Paired RNA FASTQ stats are internally consistent,hg008_rna_stats,results/clinicalization/known_answer_runs/expanded_cohort/hg008_rna_stats.json,expanded_non_dry_partial,bounded_rna_intake_stats_confirmed,aligned,public_fastq_stats_only,HG008 RNA paired FASTQ stats are internally consistent but quantification has not run.,RNA FASTQs were not downloaded and no transcript-level truth target is selected.,Transfer HG008 RNA FASTQs and run quantification against a selected RNA QC target.,no,No-call for biological expression truth until FASTQs are quantified against a selected RNA target.
colo829_illumina_hiseqx_braf,colo829,COLO829_Illumina_HiSeqX,tumor_normal_pair,tumor_normal_wgs,yes,https://www.ebi.ac.uk/ena/browser/view/PRJEB27698,COLO829 and COLO829BL have public Illumina HiSeq X WGS data in ENA PRJEB27698,BRAF V600E ALT support appears in tumor and not normal,colo829_platform_illumina_hiseqx,results/clinicalization/known_answer_runs/expanded_cohort/colo829_platform_illumina_hiseqx.json,expanded_non_dry_passed,bounded_braf_guardrail_confirmed,aligned,remote_indexed_bam_braf_pileup,COLO829 Illumina HiSeq X tumor has BRAF V600E ALT fraction 0.670968 while normal ALT fraction is 0.0.,,Run full COLO829 tumor-normal calling and signature analysis before strict pipeline confirmation.,no,No-call unless indexed tumor-normal BAM pileup confirms the driver guardrail.
colo829_pacbio_braf,colo829,COLO829_PacBio_Sequel,tumor_normal_pair,tumor_normal_long_read,yes,https://www.ebi.ac.uk/ena/browser/view/PRJEB27698,COLO829 and COLO829BL have public PacBio Sequel WGS data in ENA PRJEB27698,BRAF V600E ALT support appears in tumor and not normal,colo829_platform_pacbio_sequel,results/clinicalization/known_answer_runs/expanded_cohort/colo829_platform_pacbio_sequel.json,expanded_non_dry_passed,bounded_braf_guardrail_confirmed,aligned,remote_indexed_bam_braf_pileup,COLO829 PacBio Sequel tumor has BRAF V600E ALT fraction 0.568182 while normal ALT fraction is 0.018868.,,Run full COLO829 tumor-normal calling and signature analysis before strict pipeline confirmation.,no,No-call unless indexed tumor-normal BAM pileup confirms the driver guardrail.
colo829_ont_braf,colo829,COLO829_ONT_MinION,tumor_normal_pair,tumor_normal_long_read,yes,https://www.ebi.ac.uk/ena/browser/view/PRJEB27698,COLO829 and COLO829BL have public Oxford Nanopore WGS data in ENA PRJEB27698,BRAF V600E ALT support appears in tumor and not normal,colo829_platform_ont_minion,results/clinicalization/known_answer_runs/expanded_cohort/colo829_platform_ont_minion.json,expanded_non_dry_passed,bounded_braf_guardrail_confirmed,aligned,remote_indexed_bam_braf_pileup,COLO829 Oxford Nanopore MinION tumor has BRAF V600E ALT fraction 0.610169 while normal ALT fraction is 0.04.,,Run full COLO829 tumor-normal calling and signature analysis before strict pipeline confirmation.,no,No-call unless indexed tumor-normal BAM pileup confirms the driver guardrail.
colo829_novaseq_phased_braf,colo829,COLO829_Illumina_NovaSeq_phased,tumor_normal_pair,tumor_normal_wgs,yes,https://www.ebi.ac.uk/ena/browser/view/PRJEB27698,COLO829 and COLO829BL have public phased NovaSeq BAMs in ENA PRJEB27698,BRAF V600E ALT support appears in tumor and not normal,colo829_platform_illumina_novaseq_phased,results/clinicalization/known_answer_runs/expanded_cohort/colo829_platform_illumina_novaseq_phased.json,expanded_non_dry_passed,bounded_braf_guardrail_confirmed,aligned,remote_indexed_bam_braf_pileup,COLO829 Illumina NovaSeq phased tumor has BRAF V600E ALT fraction 0.753846 while normal ALT fraction is 0.0.,,Run full COLO829 tumor-normal calling and signature analysis before strict pipeline confirmation.,no,No-call unless indexed tumor-normal BAM pileup confirms the driver guardrail.
colo829_sv_truth_asset,colo829,COLO829_somaticSV_truth,truth_sv,tumor_normal_wgs,yes,https://zenodo.org/records/7515830,The COLO829 Zenodo truth set provides final somatic SV truth for independent benchmarking,Truth asset exists but caller overlap is not yet generated,colo829_sv_cna_truth_asset,results/clinicalization/known_answer_runs/expanded_cohort/colo829_sv_cna_truth_asset.json,expanded_non_dry_gap_identified,not_confirmed,gap,truth_assets_only_with_driver_context,COLO829 SV/CNA truth assets are present but no build-matched Diana SV/CNA callset exists.,COLO829 submitted BAMs and fetched hg38-lifted truth still require build reconciliation.; No Diana SV/CNA callset exists.,Fetch or generate build-matched COLO829 calls and run SV/CNA reciprocal-overlap evaluation.,no,No-call until build-matched SV calls are generated and compared.
colo829_cna_truth_asset,colo829,COLO829_copy_number_truth,truth_cna,tumor_normal_wgs,yes,https://zenodo.org/records/7515830,The COLO829 Zenodo truth set provides copy-number alteration files for independent benchmarking,CNA truth asset exists but caller overlap is not yet generated,colo829_sv_cna_truth_asset,results/clinicalization/known_answer_runs/expanded_cohort/colo829_sv_cna_truth_asset.json,expanded_non_dry_gap_identified,not_confirmed,gap,truth_assets_only_with_driver_context,COLO829 SV/CNA truth assets are present but no build-matched Diana SV/CNA callset exists.,COLO829 submitted BAMs and fetched hg38-lifted truth still require build reconciliation.; No Diana SV/CNA callset exists.,Fetch or generate build-matched COLO829 calls and run SV/CNA reciprocal-overlap evaluation.,no,No-call until build-matched CNA calls are generated and compared.
colo829_purity_illumina_levels,colo829_purity,COLO829_purity_10_20_25_50_75_Illumina,dilution_series,tumor_normal_wgs_dilution,yes,https://www.ebi.ac.uk/ena/browser/view/PRJEB27698,COLO829 purity-series Illumina levels are public and should test sensitivity across dilution,Metadata confirms levels but submitted BAM indexes are missing,colo829_purity_illumina,results/clinicalization/known_answer_runs/expanded_cohort/colo829_purity_illumina.json,expanded_non_dry_blocked_remote_index_missing,not_confirmed,gap,ena_metadata_without_remote_indexes,"COLO829 purity illumina metadata exposes 5 runs across levels 10, 20, 25, 50, 75 but submitted BAM indexes are missing for remote slicing.",Selected purity BAMs require full transfer or local indexing before monotonic recall can be tested.,Transfer selected dilution BAM/FASTQ inputs and index locally before running purity recall.,no,No-call until selected purity BAMs are transferred or indexed locally.
colo829_purity_long_read_levels,colo829_purity,COLO829_purity_10_20_25_50_75_long_read,dilution_series,tumor_normal_long_read_dilution,yes,https://www.ebi.ac.uk/ena/browser/view/PRJEB27698,COLO829 purity-series long-read levels are public and should test dilution robustness,Metadata confirms levels but submitted BAM indexes are missing,colo829_purity_long_read,results/clinicalization/known_answer_runs/expanded_cohort/colo829_purity_long_read.json,expanded_non_dry_blocked_remote_index_missing,not_confirmed,gap,ena_metadata_without_remote_indexes,"COLO829 purity long_read metadata exposes 10 runs across levels 10, 20, 25, 50, 75 but submitted BAM indexes are missing for remote slicing.",Selected purity BAMs require full transfer or local indexing before monotonic recall can be tested.,Transfer selected dilution BAM/FASTQ inputs and index locally before running purity recall.,no,No-call until selected purity BAMs are transferred or indexed locally.
seraseq_mrd_0pct,seraseq_ctdna_mrd,Seraseq_ctDNA_MRD_0pct,ctdna_negative,ctdna_mrd_reference,request_or_purchase,https://www.seracare.com/Seraseq-ctDNA-MRD-Panel-Mix-0710-2146/,Seraseq ctDNA MRD 0 percent tumor component should be negative,Negative component requires material or request-only VCF,seraseq_mrd_docs,results/clinicalization/known_answer_runs/expanded_cohort/seraseq_mrd_docs.json,expanded_non_dry_blocked_request_or_purchase,not_confirmed,blocked_request_or_purchase,source_access_blocker,"Seraseq ctDNA MRD components are documented at 0, 0.005, 0.05, and 0.5 percent tumor fractions, but material or VCF files require request or purchase.",Request or purchase is required before non-dry positive-negative MRD validation.,Obtain Seraseq material or request-only VCFs and define assay-specific acceptance ranges.,no,No-call until material or request-only variant files are obtained.
seraseq_mrd_0_005pct,seraseq_ctdna_mrd,Seraseq_ctDNA_MRD_0.005pct,ctdna_lod_stress,ctdna_mrd_reference,request_or_purchase,https://www.seracare.com/Seraseq-ctDNA-MRD-Panel-Mix-0710-2146/,Seraseq ctDNA MRD 0.005 percent tumor component is a limit-of-detection stress case,LOD component requires material or request-only VCF,seraseq_mrd_docs,results/clinicalization/known_answer_runs/expanded_cohort/seraseq_mrd_docs.json,expanded_non_dry_blocked_request_or_purchase,not_confirmed,blocked_request_or_purchase,source_access_blocker,"Seraseq ctDNA MRD components are documented at 0, 0.005, 0.05, and 0.5 percent tumor fractions, but material or VCF files require request or purchase.",Request or purchase is required before non-dry positive-negative MRD validation.,Obtain Seraseq material or request-only VCFs and define assay-specific acceptance ranges.,no,No-call until material or request-only variant files are obtained.
seraseq_mrd_0_05pct,seraseq_ctdna_mrd,Seraseq_ctDNA_MRD_0.05pct,ctdna_positive,ctdna_mrd_reference,request_or_purchase,https://www.seracare.com/Seraseq-ctDNA-MRD-Panel-Mix-0710-2146/,Seraseq ctDNA MRD 0.05 percent tumor component should be positive within assay limits,Positive component requires material or request-only VCF,seraseq_mrd_docs,results/clinicalization/known_answer_runs/expanded_cohort/seraseq_mrd_docs.json,expanded_non_dry_blocked_request_or_purchase,not_confirmed,blocked_request_or_purchase,source_access_blocker,"Seraseq ctDNA MRD components are documented at 0, 0.005, 0.05, and 0.5 percent tumor fractions, but material or VCF files require request or purchase.",Request or purchase is required before non-dry positive-negative MRD validation.,Obtain Seraseq material or request-only VCFs and define assay-specific acceptance ranges.,no,No-call until material or request-only variant files are obtained.
seraseq_mrd_0_5pct,seraseq_ctdna_mrd,Seraseq_ctDNA_MRD_0.5pct,ctdna_positive,ctdna_mrd_reference,request_or_purchase,https://www.seracare.com/Seraseq-ctDNA-MRD-Panel-Mix-0710-2146/,Seraseq ctDNA MRD 0.5 percent tumor component should be positive within assay limits,Positive component requires material or request-only VCF,seraseq_mrd_docs,results/clinicalization/known_answer_runs/expanded_cohort/seraseq_mrd_docs.json,expanded_non_dry_blocked_request_or_purchase,not_confirmed,blocked_request_or_purchase,source_access_blocker,"Seraseq ctDNA MRD components are documented at 0, 0.005, 0.05, and 0.5 percent tumor fractions, but material or VCF files require request or purchase.",Request or purchase is required before non-dry positive-negative MRD validation.,Obtain Seraseq material or request-only VCFs and define assay-specific acceptance ranges.,no,No-call until material or request-only variant files are obtained.
