target_id,gene_symbol,display_name,target_family,overall_status,candidate_class,dna_status,rna_status,protein_status,sample_support_summary,sample_blockers,research_context_status,recommended_followup,clinical_boundary
rb1,RB1,RB1,cell_cycle_resistance,blocked,blocked,no_call,no_call,no_call,No DNA target evidence row was available.,CDK-pathway dependence and resistance context are not clinically locked.,no_call,IHC;phospho-Rb,Research-use follow-up triage only; clinical decisions require reviewer signoff.
ccne1,CCNE1,Cyclin E1,cell_cycle_resistance,blocked,blocked,no_call,no_call,no_call,No DNA target evidence row was available.,CDK-pathway dependence and resistance context are not clinically locked.,no_call,RNA-seq;cyclin-E protein,Research-use follow-up triage only; clinical decisions require reviewer signoff.
cdk4,CDK4,CDK4,cell_cycle_resistance,blocked,blocked,no_call,no_call,no_call,No DNA target evidence row was available.,CDK-pathway dependence and resistance context are not clinically locked.,no_call,RNA-seq;phospho-Rb,Research-use follow-up triage only; clinical decisions require reviewer signoff.
cdk6,CDK6,CDK6,cell_cycle_resistance,blocked,blocked,no_call,no_call,no_call,No DNA target evidence row was available.,CDK-pathway dependence and resistance context are not clinically locked.,no_call,RNA-seq;phospho-Rb,Research-use follow-up triage only; clinical decisions require reviewer signoff.
ccnd1,CCND1,Cyclin D1,cell_cycle_resistance,blocked,blocked,no_call,no_call,no_call,No DNA target evidence row was available.,CDK-pathway dependence and resistance context are not clinically locked.,no_call,RNA-seq;cyclin-D1 protein,Research-use follow-up triage only; clinical decisions require reviewer signoff.
cdkn2a,CDKN2A,CDKN2A,cell_cycle_resistance,blocked,blocked,no_call,no_call,no_call,No DNA target evidence row was available.,CDK-pathway dependence and resistance context are not clinically locked.,no_call,RNA-seq;p16 IHC,Research-use follow-up triage only; clinical decisions require reviewer signoff.
cdkn2b,CDKN2B,CDKN2B,cell_cycle_resistance,blocked,blocked,no_call,no_call,no_call,No DNA target evidence row was available.,CDK-pathway dependence and resistance context are not clinically locked.,no_call,RNA-seq,Research-use follow-up triage only; clinical decisions require reviewer signoff.
pik3ca,PIK3CA,PI3K alpha,cell_cycle_resistance,blocked,blocked,no_call,no_call,no_call,No DNA target evidence row was available.,CDK-pathway dependence and resistance context are not clinically locked.,no_call,PI3K pathway review,Research-use follow-up triage only; clinical decisions require reviewer signoff.
akt1,AKT1,AKT1,cell_cycle_resistance,blocked,blocked,no_call,no_call,no_call,No DNA target evidence row was available.,CDK-pathway dependence and resistance context are not clinically locked.,no_call,PI3K pathway review,Research-use follow-up triage only; clinical decisions require reviewer signoff.
pten,PTEN,PTEN,cell_cycle_resistance,blocked,blocked,no_call,no_call,no_call,No DNA target evidence row was available.,CDK-pathway dependence and resistance context are not clinically locked.,no_call,IHC;PI3K pathway review,Research-use follow-up triage only; clinical decisions require reviewer signoff.
fgfr1,FGFR1,FGFR1,cell_cycle_resistance,blocked,blocked,no_call,no_call,no_call,No DNA target evidence row was available.,CDK-pathway dependence and resistance context are not clinically locked.,no_call,RNA-seq;phospho-protein,Research-use follow-up triage only; clinical decisions require reviewer signoff.
fgfr2,FGFR2,FGFR2,cell_cycle_resistance,blocked,blocked,no_call,no_call,no_call,No DNA target evidence row was available.,CDK-pathway dependence and resistance context are not clinically locked.,no_call,RNA-seq;phospho-protein,Research-use follow-up triage only; clinical decisions require reviewer signoff.
esr1,ESR1,ESR1,cell_cycle_resistance,blocked,blocked,no_call,no_call,no_call,No DNA target evidence row was available.,CDK-pathway dependence and resistance context are not clinically locked.,no_call,ER IHC;RNA-seq,Research-use follow-up triage only; clinical decisions require reviewer signoff.
top1,TOP1,TOP1,payload_context,blocked,blocked,no_call,no_call,no_call,No DNA target evidence row was available.,Payload-specific sensitivity context is not validated.,no_call,RNA-seq;protein,Research-use follow-up triage only; clinical decisions require reviewer signoff.
slfn11,SLFN11,SLFN11,payload_context,blocked,blocked,no_call,no_call,no_call,No DNA target evidence row was available.,Payload-specific sensitivity context is not validated.,no_call,RNA-seq;IHC,Research-use follow-up triage only; clinical decisions require reviewer signoff.
abcb1,ABCB1,ABCB1,payload_context,blocked,blocked,no_call,no_call,no_call,No DNA target evidence row was available.,Payload-specific sensitivity context is not validated.,no_call,RNA-seq,Research-use follow-up triage only; clinical decisions require reviewer signoff.
ugt1a1,UGT1A1,UGT1A1,payload_context,blocked,blocked,no_call,no_call,no_call,No DNA target evidence row was available.,Payload-specific sensitivity context is not validated.,no_call,germline pharmacogenomics,Research-use follow-up triage only; clinical decisions require reviewer signoff.
