target_id,cohort_group,sample_or_asset_id,target_role,modality,source_access,source_url,public_finding,expected_signal,probe_key,no_call_policy
hg008_tumor_wgs_remote,giab_hg008,HG008-T,tumor,tumor_normal_wgs,yes,https://www.nist.gov/programs-projects/cancer-genome-bottle,HG008-T is the first Cancer GIAB tumor sample and has public WGS data,Expanded SNV panel shows tumor ALT support,hg008_snv_panel,No-call unless indexed public tumor BAM supports truth alleles.
hg008_normal_wgs_remote,giab_hg008,HG008-N-D,normal,tumor_normal_wgs,yes,https://www.nist.gov/programs-projects/cancer-genome-bottle,HG008-N-D is a paired normal sample for HG008-T,Expanded SNV panel shows normal REF support,hg008_snv_panel,No-call unless indexed public normal BAM remains reference-like at truth loci.
hg008_snv_panel_40,giab_hg008,HG008-T_somatic_smvar_v0.3,truth_small_variant,tumor_normal_wgs,yes,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data_somatic/HG008/Liss_lab/analysis/NIST_HG008-T_somatic-smvar_DraftBenchmark_V0.3-20260425/,NIST HG008-T v0.3 somatic small-variant benchmark supports public SNV and indel correctness checks,At least 40 simple SNV truth loci pass remote tumor-normal pileup,hg008_snv_panel,No-call unless expanded truth SNV panel is evaluated against tumor and normal.
hg008_cnv_loss_depth,giab_hg008,HG008-T_CNV_loss,truth_cnv,tumor_normal_wgs,yes,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data_somatic/HG008/Liss_lab/analysis/NIST_HG008-T_somatic-stvar-CNV_DraftBenchmark_V0.5-20260318/,NIST HG008-T v0.5 CNV benchmark includes PASS copy-loss intervals,Loss intervals show lower normalized tumor-normal depth,hg008_cnv_sweep,No-call unless public CNV truth and indexed tumor-normal BAMs support the depth signal.
hg008_cnv_gain_depth,giab_hg008,HG008-T_CNV_gain,truth_cnv,tumor_normal_wgs,yes,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data_somatic/HG008/Liss_lab/analysis/NIST_HG008-T_somatic-stvar-CNV_DraftBenchmark_V0.5-20260318/,NIST HG008-T v0.5 CNV benchmark includes PASS copy-gain intervals,Gain intervals show higher normalized tumor-normal depth,hg008_cnv_sweep,No-call unless public CNV truth and indexed tumor-normal BAMs support the depth signal.
hg008_sv_truth_asset,giab_hg008,HG008-T_somatic_stvar_v0.5,truth_sv,tumor_normal_wgs,yes,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data_somatic/HG008/Liss_lab/analysis/NIST_HG008-T_somatic-stvar-CNV_DraftBenchmark_V0.5-20260318/,NIST HG008-T v0.5 SV benchmark includes PASS structural-variant truth files,Truth asset is present but reciprocal-overlap caller output is still needed,hg008_sv_truth_asset,No-call until Diana SV calls are generated and compared against HG008 truth.
hg008_rna_paired_stats,giab_hg008,HG008-T_bulk,tumor_rna_seq,tumor_rna_seq,yes,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data_somatic/HG008/NIST/HG008-T_bulk/20240508p21/UMD_RNA-seq_20250925/,HG008-T bulk RNA-seq is public and should validate RNA intake plumbing,Paired RNA FASTQ stats are internally consistent,hg008_rna_stats,No-call for biological expression truth until FASTQs are quantified against a selected RNA target.
colo829_illumina_hiseqx_braf,colo829,COLO829_Illumina_HiSeqX,tumor_normal_pair,tumor_normal_wgs,yes,https://www.ebi.ac.uk/ena/browser/view/PRJEB27698,COLO829 and COLO829BL have public Illumina HiSeq X WGS data in ENA PRJEB27698,BRAF V600E ALT support appears in tumor and not normal,colo829_platform_illumina_hiseqx,No-call unless indexed tumor-normal BAM pileup confirms the driver guardrail.
colo829_pacbio_braf,colo829,COLO829_PacBio_Sequel,tumor_normal_pair,tumor_normal_long_read,yes,https://www.ebi.ac.uk/ena/browser/view/PRJEB27698,COLO829 and COLO829BL have public PacBio Sequel WGS data in ENA PRJEB27698,BRAF V600E ALT support appears in tumor and not normal,colo829_platform_pacbio_sequel,No-call unless indexed tumor-normal BAM pileup confirms the driver guardrail.
colo829_ont_braf,colo829,COLO829_ONT_MinION,tumor_normal_pair,tumor_normal_long_read,yes,https://www.ebi.ac.uk/ena/browser/view/PRJEB27698,COLO829 and COLO829BL have public Oxford Nanopore WGS data in ENA PRJEB27698,BRAF V600E ALT support appears in tumor and not normal,colo829_platform_ont_minion,No-call unless indexed tumor-normal BAM pileup confirms the driver guardrail.
colo829_novaseq_phased_braf,colo829,COLO829_Illumina_NovaSeq_phased,tumor_normal_pair,tumor_normal_wgs,yes,https://www.ebi.ac.uk/ena/browser/view/PRJEB27698,COLO829 and COLO829BL have public phased NovaSeq BAMs in ENA PRJEB27698,BRAF V600E ALT support appears in tumor and not normal,colo829_platform_illumina_novaseq_phased,No-call unless indexed tumor-normal BAM pileup confirms the driver guardrail.
colo829_sv_truth_asset,colo829,COLO829_somaticSV_truth,truth_sv,tumor_normal_wgs,yes,https://zenodo.org/records/7515830,The COLO829 Zenodo truth set provides final somatic SV truth for independent benchmarking,Truth asset exists but caller overlap is not yet generated,colo829_sv_cna_truth_asset,No-call until build-matched SV calls are generated and compared.
colo829_cna_truth_asset,colo829,COLO829_copy_number_truth,truth_cna,tumor_normal_wgs,yes,https://zenodo.org/records/7515830,The COLO829 Zenodo truth set provides copy-number alteration files for independent benchmarking,CNA truth asset exists but caller overlap is not yet generated,colo829_sv_cna_truth_asset,No-call until build-matched CNA calls are generated and compared.
colo829_purity_illumina_levels,colo829_purity,COLO829_purity_10_20_25_50_75_Illumina,dilution_series,tumor_normal_wgs_dilution,yes,https://www.ebi.ac.uk/ena/browser/view/PRJEB27698,COLO829 purity-series Illumina levels are public and should test sensitivity across dilution,Metadata confirms levels but submitted BAM indexes are missing,colo829_purity_illumina,No-call until selected purity BAMs are transferred or indexed locally.
colo829_purity_long_read_levels,colo829_purity,COLO829_purity_10_20_25_50_75_long_read,dilution_series,tumor_normal_long_read_dilution,yes,https://www.ebi.ac.uk/ena/browser/view/PRJEB27698,COLO829 purity-series long-read levels are public and should test dilution robustness,Metadata confirms levels but submitted BAM indexes are missing,colo829_purity_long_read,No-call until selected purity BAMs are transferred or indexed locally.
seraseq_mrd_0pct,seraseq_ctdna_mrd,Seraseq_ctDNA_MRD_0pct,ctdna_negative,ctdna_mrd_reference,request_or_purchase,https://www.seracare.com/Seraseq-ctDNA-MRD-Panel-Mix-0710-2146/,Seraseq ctDNA MRD 0 percent tumor component should be negative,Negative component requires material or request-only VCF,seraseq_mrd_docs,No-call until material or request-only variant files are obtained.
seraseq_mrd_0_005pct,seraseq_ctdna_mrd,Seraseq_ctDNA_MRD_0.005pct,ctdna_lod_stress,ctdna_mrd_reference,request_or_purchase,https://www.seracare.com/Seraseq-ctDNA-MRD-Panel-Mix-0710-2146/,Seraseq ctDNA MRD 0.005 percent tumor component is a limit-of-detection stress case,LOD component requires material or request-only VCF,seraseq_mrd_docs,No-call until material or request-only variant files are obtained.
seraseq_mrd_0_05pct,seraseq_ctdna_mrd,Seraseq_ctDNA_MRD_0.05pct,ctdna_positive,ctdna_mrd_reference,request_or_purchase,https://www.seracare.com/Seraseq-ctDNA-MRD-Panel-Mix-0710-2146/,Seraseq ctDNA MRD 0.05 percent tumor component should be positive within assay limits,Positive component requires material or request-only VCF,seraseq_mrd_docs,No-call until material or request-only variant files are obtained.
seraseq_mrd_0_5pct,seraseq_ctdna_mrd,Seraseq_ctDNA_MRD_0.5pct,ctdna_positive,ctdna_mrd_reference,request_or_purchase,https://www.seracare.com/Seraseq-ctDNA-MRD-Panel-Mix-0710-2146/,Seraseq ctDNA MRD 0.5 percent tumor component should be positive within assay limits,Positive component requires material or request-only VCF,seraseq_mrd_docs,No-call until material or request-only variant files are obtained.
